cleName,cleid,siteId,siteName,mirDownlink,mirUplink
"Subcom, LLC",246759,569,CS Dependable ,16384,5120
Excelerate Energy LP,258344,34057,SUMMIT LNG,16384,5120
Marine Platforms Limited,246911,2614,African Inspiration,16384,5120
Ocean Infinity Group Limited,261292,41724,Ocean Infinity Office,16384,5120
"China Transport Telecommunication Info Gp Co., Ltd",189410,53383,XUE LONG 2 HAO-2,16384,5120
"China Transport Telecommunication Info Gp Co., Ltd",189410,53378,XUE LONG 2 HAO-1,16384,5120
Sapura Drilling Asia Sdn Bhd,270305,58835,SAPURA Berani,16384,5120
Sapura Drilling Asia Sdn Bhd,270305,60679,SAPURA BERANI,16384,5120
OTESAT-MARITEL SA,177128,61239,49823,16384,5120
EO Offshore Services Singapore Pte Ltd,270047,46993,Lewek Hydra,16384,5120
JSAT MOBILE COMMUNICATIONS INC,208629,54624,BLUE WIND,10240,5120
China Shipping Group Company,92303,5687,YANG MEI HU,10240,5120
Eaglestar Shipmanagement (S) Pte Ltd,122643,47138,EAGLE COLATINA,10240,5120
Eaglestar Shipmanagement (S) Pte Ltd,122643,52381,EAGLE CRATO,10240,5120
Eaglestar Shipmanagement (S) Pte Ltd,122643,48166,EAGLE CAMBE,10240,5120
Northern Marine Management Ltd,100954,61096,Woodside Scarlet Ibis,10240,5120
Marine Platforms Limited,246911,1648,African Vision,10240,5120
"China Transport Telecommunication Info Gp Co., Ltd",189410,22720,HAIYANGDIZHILIUHAO,10240,5120
"China Transport Telecommunication Info Gp Co., Ltd",189410,41938,YUAN JING HE,10240,5120
One Net Limited,190841,43307,IT INTREPID,10240,5120
"China Transport Telecommunication Info Gp Co., Ltd",189410,55948,HAIXUN 08,10240,5120
"China Transport Telecommunication Info Gp Co., Ltd",189410,59881,HAI YANG SHI YOU 123,10240,5120
Sapura Drilling Asia Sdn Bhd,270305,60204,Sapura Esperanza,10240,5120
PDE Offshore Corporation,270363,59965,Geo Energy,10240,5120
PDE Offshore Corporation,270363,60591,GEO POWER,10240,5120
KTSAT Co Ltd,171011,61512,TAMHAE 3,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,26594,KLINE_HOUSTONBRIDGE,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,24830,KLINE_SWANRIVERBRIDGE,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,22734,KLINE_ONE HONOLULU ,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,24832,KLINE_ONEHONGKONG BRIDGE,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,24117,KLINE_GEORGEWASHINGTONBRIDGE,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,24427,KLINE_HAMBURG BRIDGE,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,22288,KLINE_ONEHELSINKI ,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,24765,KLINE_ONE HANGZHOU BAY,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,22620,KLINE_ONE HUMBER,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,24532,KLINE_ONE HANNOVER,10240,5120
SINGAPORE TELECOMMUNICATIONS LTD.,126885,23223,KLINE_ONEHANOI,10240,5120
Ecubed Systems SL,124385,52532,Alea 2 (BN3083),10240,5120
Eaglestar Shipmanagement (S) Pte Ltd,122643,25577,EAGLE PASSOS,10240,5120
World Link Communications,101174,24167,CMA CGM Semarang,8192,4096
World Link Communications,101174,56095,Cma Cgm Goya2 ,8192,3072
World Link Communications,101174,46998,CMA CGM Beira,8192,3072
Navarino Technology CY Ltd,241791,30272,H3020 TBN LA SEINE,8192,4096
Navarino Technology CY Ltd,241791,30273,AMBERJACK LNG,8192,4096
Navarino Technology CY Ltd,241791,35907,HN3038 TBN COBIA LNG,8192,4096
Navarino Technology CY Ltd,241791,31397,BONITO LNG,8192,4096
Navarino Technology CY Ltd,241791,34084,VIVIT AMERICAS LNG,8192,4096
IEC TELECOM Europe,252060,25622,OTTOMAN_SINCERITY,8192,4096
Navarino Technology CY Ltd,241791,53611,SOLOMOS ,8192,4096
Navarino Technology CY Ltd,241791,52475,THALASSINI NJORD,8192,4096
Navarino Technology CY Ltd,241791,31544,PANTELIS,8192,4096
Navarino Technology CY Ltd,241791,37725,KANARIS 21,8192,4096
Navarino Technology CY Ltd,241791,35751,CAPTAIN LYRISTIS,8192,4096
Navarino Technology CY Ltd,241791,34837,SPYROS,8192,4096
Navarino Technology CY Ltd,241791,39228,SN2342 TBN LORD BYRON 21,8192,4096
Navarino Technology CY Ltd,241791,37726,KAPODISTRIAS 21,8192,4096
Navarino Technology CY Ltd,241791,41834,THALASSINI AGATHA,8192,4096
Navarino Technology CY Ltd,241791,52704,THALASSINI NIKI,8192,4096
Navarino Technology CY Ltd,241791,31882,SPARTO,8192,4096
Navarino Technology CY Ltd,241791,38572,HN5052 TBN MIAOULIS 21,8192,4096
Navarino Technology CY Ltd,241791,52085,MINERVA AMORGOS,8192,4096
Exmar Shipmanagement NV,247963,1368,Excalibur,8192,4096
Exmar Shipmanagement NV,247963,4648,SOMBEKE,8192,4096
Exmar Shipmanagement NV,247963,3777,WAREGEM,8192,4096
Exmar Shipmanagement NV,247963,4537,KAPRIJKE,8192,4096
Exmar Shipmanagement NV,247963,6143,WEPION,8192,4096
Exmar Shipmanagement NV,247963,4714,LIBRAMONT,8192,4096
Exmar Shipmanagement NV,247963,3896,KNOKKE,8192,4096
Exmar Shipmanagement NV,247963,33347,Flanders Pioneer,8192,4096
Exmar Shipmanagement NV,247963,4188,KRUIBEKE,8192,4096
Exmar Shipmanagement NV,247963,4278,WAASMUNSTER,8192,4096
Exmar Shipmanagement NV,247963,7654,MARIANNE,8192,3072
Exmar Shipmanagement NV,247963,4235,WARISOULX,8192,4096
Exmar Shipmanagement NV,247963,4023,KORTRIJK,8192,4096
Exmar Shipmanagement NV,247963,33345,Flanders Innovation,8192,4096
Torm A/S,246773,39514,Torm Voyager,8192,4096
Torm A/S,246773,28293,Torm New Zealand,8192,4096
Torm A/S,246773,1472,Torm Thames,8192,4096
Torm A/S,246773,1623,Torm Venture,8192,4096
China Shipping Group Company,92303,5182,NAN LIN WAN,8192,4096
China Shipping Group Company,92303,5184,XIN LONG YANG,8192,4096
China Shipping Group Company,92303,18753,TONG LIN WAN,8192,4096
China Shipping Group Company,92303,53179,E MEI,8192,4096
China Shipping Group Company,92303,53176,KUN LUN,8192,4096
China Shipping Group Company,92303,6342,RONG LIN WAN,8192,4096
China Shipping Group Company,92303,33291,TAO LIN WAN,8192,4096
China Shipping Group Company,92303,33292,SHAN YING ZUO,8192,4096
China Shipping Group Company,92303,17423,KONG QUE ZUO,8192,4096
China Shipping Group Company,92303,52529,WU DANG,8192,4096
China Shipping Group Company,92303,48050,SHAO LIN,8192,4096
China Shipping Group Company,92303,7840,XIN LIAN YANG,8192,4096
China Shipping Group Company,92303,6343,XIN WEI YANG,8192,4096
China Shipping Group Company,92303,6183,XIN MAO YANG,8192,4096
China Shipping Group Company,92303,6134,XIN HUI YANG,8192,4096
China Shipping Group Company,92303,30598,TIAN E ZUO,8192,4096
China Shipping Group Company,92303,53178,HUA SHAN,8192,4096
Bourbon Management,237549,2151,Bourbon Evolution 807,8192,4096
Bourbon Management,237549,7885,Bourbon Evolution 808,8192,4096
Bourbon Management,237549,863,Bourbon Evolution 802,8192,4096
Bernhard Schulte Shipmanagement (Singapore)Pte Ltd,99134,1166,SFL Sara,8192,4096
Eaglestar Shipmanagement (S) Pte Ltd,122643,58706,Eagle Veracruz,8192,4096
Eaglestar Shipmanagement (S) Pte Ltd,122643,773,Eagle Parana,8192,4096
EAGLESTAR SHIPMANAGEMENT GAS (S) PTE LTD,259926,55000,Seri Damai,8192,4096
Eaglestar Shipmanagement (L) Pte Ltd,39480,1298,Puteri Zamrud,8192,4096
Mol Chemical Tankers Europe A/S,246962,2177,Bonita Ann,8192,4096
Mol Chemical Tankers Europe A/S,246962,2179,Nordic Mari,8192,4096
Mol Chemical Tankers Europe A/S,246962,2168,Bonita Aki,8192,4096
Mol Chemical Tankers Europe A/S,246962,3365,Nordic Maya,8192,4096
POSH FLEET SERVICES PTE LTD,241509,21511,Posh Endurance,8192,4096
POSH FLEET SERVICES PTE LTD,241509,30880,Posh Hawk,8192,4096
POSH FLEET SERVICES PTE LTD,241509,56529,POSH Skimmer,8192,4096
POSH FLEET SERVICES PTE LTD,241509,28792,M/V POSH Champion,8192,4096
POSH FLEET SERVICES PTE LTD,241509,30879,Posh Falcon,8192,4096
POSH FLEET SERVICES PTE LTD,241509,30991,M/V POSH Commander,8192,4096
POSH FLEET SERVICES PTE LTD,241509,56587,POSH Pintail,8192,4096
POSH FLEET SERVICES PTE LTD,241509,35553,POSH Eagle,8192,4096
POSH FLEET SERVICES PTE LTD,241509,54647,POSH Deep C,8192,4096
POSH FLEET SERVICES PTE LTD,241509,58724,POSH RAPTOR,8192,4096
POSH FLEET SERVICES PTE LTD,241509,35555,POSH Osprey,8192,4096
POSH FLEET SERVICES PTE LTD,241509,30881,Posh Teal,8192,4096
Royal Greenland A/S,93330,7390,Sisimiut,8192,4096
Royal Greenland A/S,93330,48438,Tuugaalik (B-326),8192,4096
K-Line LNG Shipping (UK) Ltd,247960,5626,KINISIS,8192,4096
K-Line LNG Shipping (UK) Ltd,247960,5608,PATRIS,8192,4096
K-Line LNG Shipping (UK) Ltd,247960,11646,SYMPHONIC BREEZE,8192,4096
K-Line LNG Shipping (UK) Ltd,247960,12222,AL THAKHIRA,8192,4096
K-Line LNG Shipping (UK) Ltd,247960,12254,AL ORAIQ,8192,4096
K-Line LNG Shipping (UK) Ltd,247960,11009,ARCTIC DISCOVERER,8192,4096
K-Line LNG Shipping (UK) Ltd,247960,12273,UMM AL AMAD,8192,4096
K-Line LNG Shipping (UK) Ltd,247960,11035,ARCTIC VOYAGER,8192,4096
"NYK LNG SHIPMANAGEMENT Co., Ltd.",248003,15028,Pacific Arcadia,8192,4096
"NYK LNG SHIPMANAGEMENT Co., Ltd.",248003,11757,GRAND ELENA,8192,4096
"NYK LNG SHIPMANAGEMENT Co., Ltd.",248003,15342,SEISHUMARU,8192,4096
International Andromeda Shipping SAM,248001,13796,ORANGE STARS,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,659,Coral Energy,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,1117,Coral Acropora,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,1729,M/V Coral Lacera,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,2387,Coral Sticho,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,4595,CORAL PATULA,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,1119,Coral Alicia,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,3307,Coral Monactis,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,17762,Coral Favia,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,2391,Coral Star,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,38561,Coral Furcata,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,932,M/V Coral Parensis,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,36090,Coral Siderea,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,3273,Coral Medusa,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,17763,Coral Fungia,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,17878,Coral Encanto,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,41804,Coral Nordic,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,880,M/V Coral Ivory Anthony Veder Rederijzaken B.V,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,38329,CORAL FRASERI,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,52825,Coral Evolution,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,4661,CORAL PEARL,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,667,Coral Actinia,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,1129,Coral Anthelia,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,699,M/V Coral Leaf,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,465,M/V Coral Lophelia,8192,4096
ANTHONY VEDER REDERIJZAKEN BV,96015,639,M/V Coral Methane,8192,4096
Frontline Management (Bermuda) Ltd,128786,59287,Golden Wave (Hull No. BC85K-3),8192,4096
Frontline Management (Bermuda) Ltd,128786,42322,Front Nausta,8192,4096
Frontline Management (Bermuda) Ltd,128786,4559,SFL Trinity,8192,4096
Frontline Management (Bermuda) Ltd,128786,2339,Golden Finsbury,8192,4096
Frontline Management (Bermuda) Ltd,128786,25553,MONSOON,8192,4096
Frontline Management (Bermuda) Ltd,128786,2803,KSL Stockholm,8192,4096
Frontline Management (Bermuda) Ltd,128786,41562,Front Tyne H3286,8192,4096
Frontline Management (Bermuda) Ltd,128786,4293,Front Cascade,8192,4096
Frontline Management (Bermuda) Ltd,128786,4010,Golden Monterrey,8192,4096
Frontline Management (Bermuda) Ltd,128786,2423,KSL Sapporo,8192,4096
Frontline Management (Bermuda) Ltd,128786,4121,Front Antares,8192,4096
Frontline Management (Bermuda) Ltd,128786,997,M/V Golden Zhejiang,8192,4096
Frontline Management (Bermuda) Ltd,128786,25480,FRONT CRUISER,8192,4096
Frontline Management (Bermuda) Ltd,128786,43045,Odin Highway,8192,4096
Frontline Management (Bermuda) Ltd,128786,1680,SFL Lion NB L0037,8192,4096
Frontline Management (Bermuda) Ltd,128786,7675,GOLDEN SAINT,8192,4096
Frontline Management (Bermuda) Ltd,128786,6023,Golden Ioanari,8192,4096
Frontline Management (Bermuda) Ltd,128786,2367,San Felix,8192,4096
Frontline Management (Bermuda) Ltd,128786,31070,Front Future H1507,8192,4096
Frontline Management (Bermuda) Ltd,128786,17211,FLEX VIGILANT Hull No 8013,8192,4096
Frontline Management (Bermuda) Ltd,128786,4191,Front Duke,8192,4096
Frontline Management (Bermuda) Ltd,128786,48043,Golden Erling,8192,4096
Frontline Management (Bermuda) Ltd,128786,43005,WOLFSBURG (Hull No. 21110036),8192,4096
Frontline Management (Bermuda) Ltd,128786,17208,FLEX VOLUNTEER Hull No 8012,8192,4096
Frontline Management (Bermuda) Ltd,128786,6934,GOLDEN FAST Hull No. B82K-17,8192,4096
Frontline Management (Bermuda) Ltd,128786,42323,Front Driva,8192,4096
Frontline Management (Bermuda) Ltd,128786,4237,Front Clipper,8192,4096
Frontline Management (Bermuda) Ltd,128786,41534,Front Tana,8192,4096
Frontline Management (Bermuda) Ltd,128786,2325,Golden Fulham,8192,4096
Frontline Management (Bermuda) Ltd,128786,41539,Front Gaula,8192,4096
Frontline Management (Bermuda) Ltd,128786,17209,FLEX AMBER Full No 8011,8192,4096
Frontline Management (Bermuda) Ltd,128786,952,M/V Belgravia,8192,4096
Frontline Management (Bermuda) Ltd,128786,2735,Front Thor,8192,4096
Frontline Management (Bermuda) Ltd,128786,2277,Golden Kathrine JMU-TSU 5004,8192,4096
Frontline Management (Bermuda) Ltd,128786,4628,Flex Enterprise,8192,4096
Frontline Management (Bermuda) Ltd,128786,2986,Front Brage,8192,4096
Frontline Management (Bermuda) Ltd,128786,6688,GOLDEN SPIRIT,8192,4096
Frontline Management (Bermuda) Ltd,128786,41526,Front Tweed H3241,8192,4096
Frontline Management (Bermuda) Ltd,128786,4280,Front Classic FCLA-90056,8192,4096
Frontline Management (Bermuda) Ltd,128786,3958,Golden Behike,8192,4096
Frontline Management (Bermuda) Ltd,128786,2600,Golden Rose,8192,4096
Frontline Management (Bermuda) Ltd,128786,3379,Golden Cirrus,8192,4096
Frontline Management (Bermuda) Ltd,128786,5579,Golden Amreen,8192,4096
Frontline Management (Bermuda) Ltd,128786,48044,Golden Grace,8192,4096
Frontline Management (Bermuda) Ltd,128786,2458, SFL Pearl,8192,4096
Frontline Management (Bermuda) Ltd,128786,5650,Golden Myrtalia,8192,4096
Frontline Management (Bermuda) Ltd,128786,28732,FRONT DYNAMIC,8192,4096
Frontline Management (Bermuda) Ltd,128786,42993,Emden (Hull no. 21110035),8192,4096
Frontline Management (Bermuda) Ltd,128786,56470,Golden Sapphire,8192,4096
Frontline Management (Bermuda) Ltd,128786,2724,Golden Bexley,8192,4096
Frontline Management (Bermuda) Ltd,128786,59046,SFL Taurus Hull No: 0311542,8192,4096
Frontline Management (Bermuda) Ltd,128786,649,M/V Golden Beijing,8192,4096
Frontline Management (Bermuda) Ltd,128786,6220,Golden Kennedy,8192,4096
Frontline Management (Bermuda) Ltd,128786,5298,Front Prince,8192,4096
Frontline Management (Bermuda) Ltd,128786,3241,Maersk Sarat Mr. Shravan Jha (Sr Tech Superint.),8192,4096
Frontline Management (Bermuda) Ltd,128786,1907,MV Golden Pearl,8192,4096
Frontline Management (Bermuda) Ltd,128786,6109,Golden Deb,8192,4096
Frontline Management (Bermuda) Ltd,128786,6497,FLEX ARTEMIS Hull No 2479,8192,4096
Frontline Management (Bermuda) Ltd,128786,3005,Front Lynx,8192,4096
Frontline Management (Bermuda) Ltd,128786,6953,CAP SAN Lazaro,8192,4096
Frontline Management (Bermuda) Ltd,128786,2340,KSL Seattle,8192,4096
Frontline Management (Bermuda) Ltd,128786,2358,San Francisca,8192,4096
Frontline Management (Bermuda) Ltd,128786,1083,SFL Hudson,8192,4096
Frontline Management (Bermuda) Ltd,128786,6456,FRONT DISCOVERY Hull No S958,8192,4096
Frontline Management (Bermuda) Ltd,128786,3086,Front  Jaguar,8192,4096
Frontline Management (Bermuda) Ltd,128786,6870,GOLDEN FORTUNE Hull No. B82K-11,8192,4096
Frontline Management (Bermuda) Ltd,128786,58909,SFL Tucana (Hull No. 0311541),8192,4096
Frontline Management (Bermuda) Ltd,128786,56469,Golden Walcott,8192,4096
Frontline Management (Bermuda) Ltd,128786,17210,FLEX AURORA Hull No 8010,8192,4096
Frontline Management (Bermuda) Ltd,128786,2473,Front Idun,8192,4096
Frontline Management (Bermuda) Ltd,128786,6955,CAP SAN JUAN,8192,4096
Frontline Management (Bermuda) Ltd,128786,2092,Front Cheetah,8192,4096
Frontline Management (Bermuda) Ltd,128786,6878,GOLDEN FELLOW Hull No. B82K-14,8192,4096
Frontline Management (Bermuda) Ltd,128786,25552,MISTRAL,8192,4096
Frontline Management (Bermuda) Ltd,128786,1543,SFL Conductor,8192,4096
Frontline Management (Bermuda) Ltd,128786,3415,Golden Cumulus,8192,4096
Frontline Management (Bermuda) Ltd,128786,1032,SFL Yukon,8192,4096
Frontline Management (Bermuda) Ltd,128786,2057,SFL Puma NB L0045,8192,4096
Frontline Management (Bermuda) Ltd,128786,1002,M/V Golden Zhoushan,8192,4096
Frontline Management (Bermuda) Ltd,128786,1635,SFL Tiger,8192,4096
Frontline Management (Bermuda) Ltd,128786,5553,Golden Anastasia,8192,4096
Frontline Management (Bermuda) Ltd,128786,56459,Golden Aquamarine,8192,4096
Frontline Management (Bermuda) Ltd,128786,30557,Asian Ace,8192,4096
Frontline Management (Bermuda) Ltd,128786,7301,GOLDEN CONFIDENCE,8192,4096
Frontline Management (Bermuda) Ltd,128786,5823,Golden Kaki,8192,4096
Frontline Management (Bermuda) Ltd,128786,7852,GOLDEN COMPETENCE,8192,4096
Frontline Management (Bermuda) Ltd,128786,3277,Golden Calvus,8192,4096
Frontline Management (Bermuda) Ltd,128786,1640,Golden Brilliant,8192,4096
Frontline Management (Bermuda) Ltd,128786,663,M/V Golden Future,8192,4096
Frontline Management (Bermuda) Ltd,128786,2386,Golden Aso JMU-TSU 5005,8192,4096
Frontline Management (Bermuda) Ltd,128786,56471,Golden Emerald,8192,4096
Frontline Management (Bermuda) Ltd,128786,6926,GOLDEN FREEZE Hull No. B82K-16,8192,4096
Frontline Management (Bermuda) Ltd,128786,2321,KSL Singapore,8192,4096
Frontline Management (Bermuda) Ltd,128786,2148,Sea Pluto,8192,4096
Frontline Management (Bermuda) Ltd,128786,2609,Golden Ginger,8192,4096
Frontline Management (Bermuda) Ltd,128786,3243,Maersk Skarstind HUll No S784,8192,4096
Frontline Management (Bermuda) Ltd,128786,6929,GOLDEN FURIOUS Hull No. B82K-18,8192,4096
Frontline Management (Bermuda) Ltd,128786,5366,Golden Jake,8192,4096
Frontline Management (Bermuda) Ltd,128786,6876,CAP SAN VINCENT,8192,4096
Frontline Management (Bermuda) Ltd,128786,1683,SFL PANTHER ,8192,4096
Frontline Management (Bermuda) Ltd,128786,1194,M/V SFL Kate,8192,4096
Frontline Management (Bermuda) Ltd,128786,5582,Flex Constellation,8192,4096
Frontline Management (Bermuda) Ltd,128786,4167,Front Challenger,8192,4096
Frontline Management (Bermuda) Ltd,128786,6432,FRONT DEFENDER Hull No S957,8192,4096
Frontline Management (Bermuda) Ltd,128786,2765,KSL Sakura,8192,4096
